 10     , 9.2
 20     , 9.4
 30     , 9.2
 40     , 9.0
 50     , 8.6
 60     , 8.2
 70     , 8.2
 80     , 8.0
 90     , 7.44
 100      , 7.12
 200      , 4.64
 300      , 3.32
 400      , 2.6
 500      , 2.12
 600      , 1.72
 700      , 1.48
 800      , 1.32
 900      , 1.18
 1000     , 1.06
 2000     , 0.536
 3000     , 0.36
 4000     , 0.264
 5000     , 0.212
 6000     , 0.176
 7000     , 0.152
 8000     , 0.134
 9000     , 0.12
 10000      , 0.106
 20000      , 0.0544
 30000      , 0.0368
