d       , N     ,    t    ,   N/t     , N/t-Nu/t (Nu/t=614/1000s)
0       , 34112 ,   60    ,   568.533 , 567.919
100     , 2412  ,   60    ,   40.2    , 39.586
125     , 608   ,   60    ,   10.133  , 9.519
153+-0.5, 543   ,   60    ,   9.05    , 8.436
160+-1  , 422   ,   80    ,   5.275   , 4.661
200+-1  , 317   ,   150   ,   2.113   , 1.499
253+-1  , 287   ,   350   ,   0.82    , 0.206
302+-1  , 442   ,   600   ,   0.737   , 0.123
338+-5  , 411   ,   600   ,   0.685   , 0.071
400+-1  , 416   ,   600   ,   0.693   , 0.079
444+-2  , 424   ,   600   ,   0.707   , 0.093
482+-1  , 489   ,   700   ,   0.699   , 0.085
